question,answer
Definitions,"1. Canadian Citizen/Indigenous Person A citizen of Canada within the meaning of the Citizenship Act, or a person registered as Indigenous within the meaning of the Indian Act in Canada. 2. Permanent Resident A permanent resident within the meaning of the Immigration and Refugee Protection Act: A person who has been granted ""permanent resident"" status and has not had that status revoked; or A person who has been approved ""in-principle"" for permanent resident status in Canada. Evidence of this is a letter which confirms that Immigration, Refugees and Citizenship Canada (IRCC) has determined that they are eligible for immigration to Canada and meet the eligibility requirements to apply for permanent resident status in Canada. Such letters must be dated prior to the enrolment count date and presented prior to the enrolment report due date. 3. A Visitor with a Closed Work Permit A visitor, and their dependant(s), who is authorized to work in Canada having been issued an employer-specific work permit for a Canadian employer in Ontario. The following students are excluded: A visitor, and their dependant(s), holding an open work permit; An international student holding a work permit to complete their co-op or internship; An international student holding an open work permit for post-graduate work (usually for up to three years upon graduation); An international student whose spouse or common-law partner has received a work permit as a result of the international student holding a valid study permit; An international student holding an ""Off-Campus Work Permit""."
Dependant Child,"A dependant child is a child who is a biological child who has not been adopted by a person other than the spouse or common-law partner, or an adopted child; and who is in one of the following situations of dependency: Under age 22 and not a spouse or common-law partner; Enrolled continuously at a college, university or other educational institution and dependant substantially on the financial support of the parent since before age 22, or since becoming a spouse or common-law partner if that occurred before age 22; or"
Make an international payment to the college,"Conestoga College has partnered with two leading international payment processors: Flywire and Convera. These services allow you to make a payment to Conestoga through a wire transfer or credit card payment directly from your home country. Payments can be made quickly and in your home currency and are typically applied to your student account within five business days of being received by the college. In addition, we continue to accept online payments through web banking. We also accept international money orders, bank drafts or certified cheques. Choose the payment option that works best for you."
Did you know?,"Flywire is the global market leader for education payments, the trusted choice of millions of students, thousands of institutions and hundreds or recruitment agents and partners worldwide. Flywire offers convenient payment options from over 240 countries and territories, in more than 140+ currencies. Flywire supports a variety of local payment methods including bank transfers, credit cards, e-wallets and more."
Withdrawal and refund process,"Students seeking a withdrawal and refund must complete both the Withdrawal Request Form and the Refund Request Form. These forms are found in the Student Portal under Services > My Forms. Log in with your Conestoga email address to complete the Withdrawal Request Form. Once the Withdrawal Request Form is complete, complete the Refund Request Form. Please note: completing the Refund Request Form only will not withdraw a student from their program of study. Students must complete a Withdrawal Request Form and a Refund Request form. Refunds can take 8-10 weeks to be processed."
Withdrawal and refund policy,"Applicants only: If a No To Confirm withdrawal is received prior to the deposit due date: student will be deregistered; and any fees paid will be refunded. Note: As outlined in the Provincial Attestation Letter (PAL) request form, students who receive a PAL from Conestoga College will not be eligible for a refund of their non-refundable deposit. student will be deregistered; and any fees paid will be refunded. Note: As outlined in the Provincial Attestation Letter (PAL) request form, students who receive a PAL from Conestoga College will not be eligible for a refund of their non-refundable deposit."
Student Visa Refusals,Please note: A valid Student Visa Refusal letter must be provided at the time of the withdrawal and refund requests. Student Visa refusal letters may be verified through IRCC before processing.
"New, Level 1 Student Visa Refusals","The following refund policy applies to new international applicants who have applied for their Student Visa, and are withdrawing due to receiving a Student Visa Refusal. This does not include students who receive a refusal of their Student Visa extension request. If an applicant has received a valid Student Visa refusal letter from IRCC, they will be refunded their paid fees, less a non-refundable $200 administrative fee."
Student Visa Extension Refusals,"The following refund policy applies to new and returning international applicants and students who have applied for their Student Visa Extension, and are withdrawing due to receiving a refusal of their extension request. If the Student Visa Refusal letter from IRCC is received/dated during the current term , students will receive a refund for fees paid for the current term, less a non-refundable $200 administrative fee and specific compulsory ancillary fees, including Health and Legal fees, transportation fees, and any device and supply fees. Please note: any grades achieved for the current term will be removed at the time of withdrawal. If the Student Visa Refusal letter from IRCC is received/dated after the end of the current term , students will not receive a refund for fees paid for the current term and only fees paid for subsequent level(s) will be refunded. Please note: any grades achieved for the current term will remain on the student record."
Academic dates,Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact
Select an academic year:,"Academic dates run from September 1 to August 31 and vary by program. These dates do not apply to apprenticeship programs. September 2024 - August 2025 Fall term - 2024 Event Date Fall Orientation August 19, 23, 26 - 30 Labour Day (no classes) September 2 Classes start (First-year degree programs in the School of Engineering & Technology begin on August 19.) September 3 Last day to add a course (for most programs) September 11 Program withdrawal with refund (for most programs) September 16 Thanksgiving Day (no classes) October 14 Convocation October 20 - 25 Student Success Week (Some courses and programs may have classes during this time.) October 21 - 25 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹November 10 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) December 9 - 14 Intersession (no classes) (Some courses and programs may have classes during this time.) December 16, 2024 - January 3, 2025 Conestoga is closed December 24, 25, 26, 31 and January 1. Winter term - 2025 Event Date Winter Orientation January 2 - 3 Classes start January 6 Last day to add a course (for most programs) January 14 Program withdrawal with refund (for most programs) January 17 Family Day (no classes)"
Fall term - 2024,"Event Date Fall Orientation August 19, 23, 26 - 30 Labour Day (no classes) September 2 Classes start (First-year degree programs in the School of Engineering & Technology begin on August 19.) September 3 Last day to add a course (for most programs) September 11 Program withdrawal with refund (for most programs) September 16 Thanksgiving Day (no classes) October 14 Convocation October 20 - 25 Student Success Week (Some courses and programs may have classes during this time.) October 21 - 25 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹November 10 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) December 9 - 14 Intersession (no classes) (Some courses and programs may have classes during this time.) December 16, 2024 - January 3, 2025 Conestoga is closed December 24, 25, 26, 31 and January 1."
Winter term - 2025,"Event Date Winter Orientation January 2 - 3 Classes start January 6 Last day to add a course (for most programs) January 14 Program withdrawal with refund (for most programs) January 17 Family Day (no classes) February 17 Convocation February 24 - 28 Student Success Week (Some courses and programs may have classes during this time.) February 24 - 28 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹March 16 Good Friday (no classes) April 18 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) April 14 - 19 Intersession (no classes) (Some courses and programs may have classes during this time.) April 21 - May 2"
Spring term - 2025,"Event Date Spring Orientation April 30 - May 2 Spring term 2025 start for Level 1 international students April 30 Classes start May 5 Last day to add a course (for most programs) May 13 Program withdrawal with refund (for most programs) May 16 Victoria Day (no classes) May 19 Convocation June 23 - 27 Student Success Week (Some courses and programs may have classes during this time.) June 23 - 27 Canada Day (no classes) July 1 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. July 13 Civic Holiday (no classes) August 4 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) August 11 - 16 Intersession (no classes) (Some courses and programs may have classes during this time.) August 18 - 29 Closed means no entry permitted, including after hours."
Fall term - 2025,"Event Date Fall Orientation August Dates to be confirmed Labour Day (no classes) September 1 Classes start (First-year degree programs in the School of Engineering & Technology begin on August 19.) September 2 Last day to add a course (for most programs) September 10 Program withdrawal with refund (for most programs) September 15 Thanksgiving Day (no classes) October 13 Convocation October 20 - 24 Student Success Week (Some courses and programs may have classes during this time.) October 20 - 25 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹November 9 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) December 8 - 13 Intersession (no classes) (Some courses and programs may have classes during this time.) December 15, 2025 - January 9, 2026 Conestoga is closed December 25, 26, 31 and January 1."
Winter term - 2026,"Event Date Winter Orientation January Dates to be confirmed Classes start January 12 Last day to add a course (for most programs) January 20 Program withdrawal with refund (for most programs) January 23 Family Day (no classes) February 16 Convocation March 2 - 6 Student Success Week (Some courses and programs may have classes during this time.) March 2 - 7 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. â€‹March 22 Good Friday (no classes) April 3 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) April 20 - 25 Intersession (no classes) (Some courses and programs may have classes during this time.) April 27 - May 8"
Spring term - 2026,"Event Date Spring Orientation May Dates to be confirmed Classes start May 11 Victoria Day (no classes) May 18 Last day to add a course (for most programs) May 19 Program withdrawal with refund (for most programs) May 22 Convocation June 22 - 26 Student Success Week (Some courses and programs may have classes during this time.) June 29 - July 4 Canada Day (no classes) July 1 â€‹Last day to drop a course without academic penalty (for most courses). Verify course-specific deadlines in the Student Portal on the ""My Courses"" tab. July 19 Civic Holiday (no classes) August 3 Last week of term (Programs with exams outside this time frame will be notified by the academic area.) August 17 - 22 Intersession (no classes) (Some courses and programs may have classes during this time.) August 24 - September 4 Closed means no entry permitted, including after hours. Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking Services Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices"
Student Success,"Student Success is available, accessible and present throughout every step of our students' journey at Conestoga College. Student Success encompasses many services to empower students with the tools, resources and opportunities to pursue a successful college experience. Our mission is to provide inclusive programming and services, both in person and virtually, that enrich the college experience, maximize student potential and support the achievement of individual goals. Student Success is available, accessible and present throughout every step of our students' journey at Conestoga College. Student Success encompasses many services to empower students with the tools, resources and opportunities to pursue a successful college experience. Our mission is to provide inclusive programming and services, both in person and virtually, that enrich the college experience, maximize student potential and support the achievement of individual goals. Student Success is available, accessible and present throughout every step of our students' journey at Conestoga College. Student Success encompasses many services to empower students with the tools, resources and opportunities to pursue a successful college experience. Our mission is to provide inclusive programming and services, both in person and virtually, that enrich the college experience, maximize student potential and support the achievement of individual goals."
Student Success Portal,"The Student Success Portal is a centralized platform where registered students can access support, resources and more. Students can book appointments, attend drop-in sessions, access self-serve resources and service area information, and get involved through workshops and events. Not sure where to start? Registered students can complete the Ask For Help Form on the home page of the Student Success Portal , and a Student Success Advisor will reach out to set up an appointment. Not sure where to start? Registered students can complete the Ask For Help Form on the home page of the Student Success Portal , and a Student Success Advisor will reach out to set up an appointment."
Not sure where to start?,"Registered students can complete the Ask For Help Form on the home page of the Student Success Portal , and a Student Success Advisor will reach out to set up an appointment. Not sure where to start? Registered students can complete the Ask For Help Form on the home page of the Student Success Portal , and a Student Success Advisor will reach out to set up an appointment. Not sure where to start? Registered students can complete the Ask For Help Form on the home page of the Student Success Portal , and a Student Success Advisor will reach out to set up an appointment."
Not sure where to start?,"Registered students can complete the Ask For Help Form on the home page of the Student Success Portal , and a Student Success Advisor will reach out to set up an appointment. Library & Learning Services Indigenous Student Engagement Student Rights and Responsibilities Conestoga housing Lockers ONE Card Food services Athletics & Recreation Parking & transportation Talent Hub Sexual & gender-based violence Library & Learning Services Indigenous Student Engagement Student Rights and Responsibilities Conestoga housing Lockers ONE Card Food services Athletics & Recreation Parking & transportation Talent Hub Sexual & gender-based violence"
Frequently asked questions,Menu Home Get your card Use your card FAQ Contact Menu Home Get your card Use your card FAQ Contact Menu Home Get your card Use your card FAQ Contact
Uploading your ONE Card student photo,"After your deposit is paid, you can upload your ONE Card photo. Complete the steps outlined on Get your card . A student's ONE Card photo completes their student record and confirms that they are a Conestoga College student. Your ONE Card student photo is also required to print and mail your ONE Card to you. Your ONE Card provides you access to a variety of student services. Learn more about how to use your card ."
Getting your ONE Card,Your ONE Card is available to you in both digital and physical form. Refer to Get your card to review how you will get your ONE Card.
Condor Cash,"Condor Cash gives you a safe, fast and convenient way to make purchases at all on-campus and select off-campus merchants. Using Condor Cash allows you to access Condor perks, including specials and discounts. Funds can be added to your ONE Card: online through the ONE Card portal using debit or credit, or"
One Card Portal,Students can log in with their Conestoga network login and password. Parents/others may deposit money into a student’s account using the student number and student date of birth. Please try the following methods to troubleshoot:
General questions,"Stolen and lost cards should be suspended immediately. For information about how to suspend your card and request a replacement, refer to Replace your card . ONE Cards do not have expiry dates. Our cards are intended to follow students to convocation and beyond. We consider you part of the Conestoga community even when an alumni. The ONE Card has built-in chip technology and an antennas which allows students to tap and swipe their cards around campus. Putting a hole in the card will cause damage, which may cause the card to malfunction."
Academic guidance,"Do you feel overwhelmed? Are you having trouble navigating a situation you’ve encountered at Conestoga? Do you think you might benefit from extra support? Current students can log in to the Student Success Portal and submit the Ask for Help form. A Student Success Advisor will contact you with the next steps. Student Success Portal Student Success Advisors Student Success Advisors (SSAs) are here to help you navigate academic policies, procedures and the college more generally. Advisors are assigned to every campus, with many specializing in specific academic programs. Your SSA can assist with your academic journey by coaching, supporting, and guiding you on your academic goals. Contact your SSA for help with: Planning for an academic program, including program requirements and course changes Understanding college systems, policies and procedures Referrals to academic, wellness and personal support resources Strategies for making informed decisions and achieving goals Current students can book an appointment and learn about our drop-in services on theâ€¯ Student Success Portal (login required). Employees and faculty can visit theâ€¯ Student Success SharePoint â€¯for more information on student support. Your SSA can assist with your academic journey by coaching, supporting, and guiding you on your academic goals."
Student Success Advisors,"Student Success Advisors (SSAs) are here to help you navigate academic policies, procedures and the college more generally. Advisors are assigned to every campus, with many specializing in specific academic programs. Your SSA can assist with your academic journey by coaching, supporting, and guiding you on your academic goals. Contact your SSA for help with:"
International Student Support Services,"The International Student Support Services (ISSS) team supports the unique needs of international students at Conestoga. They assist incoming and current students through their transition, settlement and stay in Canada with informational webinars, in-person and virtual appointments and office drop-in hours. International Student Immigration Advisors International Student Immigration Advisors (ISIAs)â€¯advise students on all immigration-related topics and IRCC rules and regulations. Current and pre-registered students can book an appointment with an ISIA on theâ€¯ ISIA Student Success Portal page â€¯(login required) or byâ€¯emailing internationaladvisor@conestogac.on.ca . International Student Immigration Advisors (ISIAs)â€¯advise students on all immigration-related topics and IRCC rules and regulations. Current and pre-registered students can book an appointment with an ISIA on theâ€¯ ISIA Student Success Portal page â€¯(login required) or byâ€¯emailing internationaladvisor@conestogac.on.ca . International Transition Coordinators International Transition Coordinators (ITCs)â€¯support the early onboarding and student transition process. Travel to Canada preparedness Housing search Cultural adjustment Family settlement Guidance on accessing college and community resources Current and pre-registered students can book an appointment with an ITC on theâ€¯ ITC Student Success Portal page â€¯(login required) or by emailingâ€¯ internationaltransition@conestogac.on.ca . International Transition Coordinators (ITCs)â€¯support the early onboarding and student transition process. Travel to Canada preparedness Housing search Cultural adjustment Family settlement Guidance on accessing college and community resources Current and pre-registered students can book an appointment with an ITC on theâ€¯ ITC Student Success Portal page â€¯(login required) or by emailingâ€¯ internationaltransition@conestogac.on.ca ."
International Student Immigration Advisors,International Student Immigration Advisors (ISIAs)â€¯advise students on all immigration-related topics and IRCC rules and regulations. Current and pre-registered students can book an appointment with an ISIA on theâ€¯ ISIA Student Success Portal page â€¯(login required) or byâ€¯emailing internationaladvisor@conestogac.on.ca . International Student Immigration Advisors (ISIAs)â€¯advise students on all immigration-related topics and IRCC rules and regulations. Current and pre-registered students can book an appointment with an ISIA on theâ€¯ ISIA Student Success Portal page â€¯(login required) or byâ€¯emailing internationaladvisor@conestogac.on.ca . International Student Immigration Advisors (ISIAs)â€¯advise students on all immigration-related topics and IRCC rules and regulations. Current and pre-registered students can book an appointment with an ISIA on theâ€¯ ISIA Student Success Portal page â€¯(login required) or byâ€¯emailing internationaladvisor@conestogac.on.ca .
International Transition Coordinators,International Transition Coordinators (ITCs)â€¯support the early onboarding and student transition process. Travel to Canada preparedness Housing search Cultural adjustment Family settlement Guidance on accessing college and community resources Current and pre-registered students can book an appointment with an ITC on theâ€¯ ITC Student Success Portal page â€¯(login required) or by emailingâ€¯ internationaltransition@conestogac.on.ca . International Transition Coordinators (ITCs)â€¯support the early onboarding and student transition process. Guidance on accessing college and community resources
Additional resources,Immigration advising services International student transition support services International events calendar Student Success Portal (SSP) Events & Activities International student transition support services Student Success Portal (SSP) Events & Activities
Learning Services,"Learning Services provides students with various resources to support their academic success. Our dedicated team of advisors, consultants, and tutors help students build confidence in their learning journey."
Assistive Technology,"Explore technology that helps you read, write, study, and learn more effectively. Current students can visit Assistive Technology in the Student Success Portal (login required) for more information."
Learning Skills Advising,"Provides students with tools, resources and appointments to support them in developing individual learning strategies, the foundation for academic success. Current students can visit Learning Skills Advising â€¯in the Student Success Portal (login required) for more information."
Math Services,"Supports students enrolled in math and statistics courses to strengthen their knowledge and improve confidence through individual and group appointments, drop-ins, review sessions and workshops. Current students can visit Math Services in the Student Success Portal (login required) for more information."
Peer Tutoring & Peer Assisted Learning (PAL),Peer Tutoring offers free appointments for students inâ€¯eligible first-year courses with upper-year students who have successfully completed the course.â€¯Peer Assisted Learning is planned weekly facilitated study sessions led by an upper-year student. PAL sessions are available for select first-year courses. Current students can visit Peer Tutoringâ€¯& Peer Assisted Learning (PAL) in the Student Success Portal (login required) for more information.
Open Learning,"Open Learning connects students with open educational resources (OER), such as free study materials and textbooks. Learn more about how our services can impact your college experience by visiting theâ€¯ Open Learning web page ."
Research Services,Provides support in all stages of the research process and answers questions related to citing and referencing. Current students can visit Research Services â€¯in the Student Success Portal (login required) for more information.
Academic Integrity,"Academic Integrity is an educational resource for students. We promote a culture of integrity and academic excellence by educating students on academic integrity policies, procedures and expectations. Current students can connect with our services throughâ€¯ Academic Integrity in the Student Success Portal (login required)."
Teach-Me-Tech,Library & Learning Services offers a range of technology support for studentsâ€¯online and in person. Students looking for technology support or learning to use tech more effectively can connect with Teach-Me-Tech. Current students can visit Teach-Me-Tech in the Student Success Portal (login required) to book a consultation or access online tools and tutorials.
Testing for students with academic accommodations,"The Test Centre's primary mandate is to facilitate the academic success of students requiring testing accommodations and ensure they receive them in a convenient, accessible and respectful manner. If approved for academic accommodations relating to testing, it is the student's responsibility to keep track of upcoming test dates and request testing appointments a minimum of seven (7) days before the test date. For more information, current students can visit Testing Services in the Student Success Portal (login required). Alternatively, you can contact the Test Centre by email at TestingServices@conestogac.on.ca or by phone at 548-889-0130."
Hours and location,"Student Financial Services is open Monday to Friday, 8:30 a.m. to 4:30 p.m. We are located in the Welcome Centre at the Kitchener - Doon campus. 299 Doon Valley Drive Kitchener, Ontario N2G 4M4 ( campus map ) OSAP inquiry identification requirements In-person: One piece of valid Canadian government-issued photo identification For OSAP Access Number (OAN) retrieval and password reset: One piece of Canadian government-issued photo identification Proof of Social Insurance Number (SIN card or confirmation letter issued by Service Canada) If your name has changed you must bring supporting documentation (e.g. marriage certificate)"
In-person:,One piece of valid Canadian government-issued photo identification
For OSAP Access Number (OAN) retrieval and password reset:,One piece of Canadian government-issued photo identification Proof of Social Insurance Number (SIN card or confirmation letter issued by Service Canada) If your name has changed you must bring supporting documentation (e.g. marriage certificate)
Contact us,"To ensure your inquiry is directed to the most appropriate team, please complete the Registrar's Office Contact Form . We aim to respond to all requests within five business days, however, during peak periods this may be longer. Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices Contact 299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps Social media directory Explore Programs & courses Applying to Conestoga Accessible Learning Student Financial Services Academic dates Parking & transportation Visit us About Careers at Conestoga Research & innovation Giving to Conestoga Policies & procedures Emergency closure information News & events College service notices"
Conestoga Offers New Entrance Scholarships and Residence to Degree Students!,"Conestoga College has created exciting new degree opportunities for its current and prospective students. Beginning in Fall 2010, Conestoga is offering new Entrance Scholarships and Guaranteed Residence for Bachelor degree students. Entrance scholarships ranging from $750 to $2000 will be given to students entering Conestoga’s degree programs, based on the average of your top six Grade 12 U or M grades or equivalent as determined through the Conestoga College admission process. Entrance Scholarships for Degrees 70 - 74.9%.................$ 750 75 - 84.9%.................$1,000 85 - 89.9%.................$1,500 90%+…………….….....$2,000 Eligibility full-time student registered in Year 1 of a four-year Conestoga Bachelor degree program* has obtained a minimum average of 70% in their top six Grade 12 U or M grades or equivalent demonstrate financial need have lived in Ontario for at least 12 consecutive months is a Canadian citizen, Landed Immigrant or Protected Person *Students in collaborative degree programs (i.e. Bachelor of Science in Nursing with McMaster University) are not eligible for these scholarships, however, you continue to be eligible for Conestoga‘s Entrance Awards and other scholarships. Click on http://www.conestogac.on.ca/financialaid/awards/awards.jsp for details. *Scholarships for students bridging into degree programs after completion of a diploma or another degree program will be offered a pro-rated amount i.e. 50% if they are entering Year 3. Eligibility will be based on the grades used for admission purposes."
Applying for a Scholarship,"Upon confirmation to your degree program, Conestoga College’s Financial Aid and Student Awards Office will automatically send you the Conestoga College Entrance Scholarship for Degree Programs application form. In order to be considered, you must complete and return the Scholarship Application Form by the deadline date of September 21, 2010."
Guaranteed Residence,"In addition, Conestoga is guaranteeing lodging in residence for all four years for its degree students. That’s four years of being assured of a room in residence, no waiting list, while you study full-time in our degree programs - guaranteed."
Offer of Guaranteed Residence,"Students must apply to Residence according to the normal procedures and comply with all deadlines, including fee payments. The Registrar’s Office will provide the Residence a listing of degree program students who qualify for the offer of guaranteed accommodations."
Other Scholarships and Awards,Recipients may also be eligible for other existing scholarships and awards at Conestoga College. Click on www.conestogac.on.ca/financialaid/awards/awards.jsp for details.
Payments & invoicing,Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact Menu Home Applying to Conestoga Paying your fees + Payments & invoicing Tuition & fees Tuition & fees estimator Refunds & withdrawals Tax receipts T2202 Registrar's office + Academic dates Student forms Grading & transcripts Terms and definitions Contact
Payment options,You can pay your program tuition fees and course registration via online banking or the Student Portal. Follow the instructions below based on your chosen method.
Online banking,"Payments can be made through online banking. Your seven-digit Conestoga student number is your account/reference number, and the payee is Conestoga College. Please note: online banking payments must be received by the payment due date. Please allow 3-5 days for processing."
Student Portal,"Payments can be made through the Student Portal using Visa, MasterCard, or debit. To pay your invoice: Select the 'Financial' tab, then select 'Program Fees Payment'. In the 'Amount to Pay' box at the bottom of the page, enter the amount. Select 'Continue' and follow the instructions to pay through the Student Portal or to use another payment method. Select the 'Financial' tab, then select 'Program Fees Payment'."
Payment due dates,Fees are due approximately one month prior to the start of classes for programs with two consecutive sessions. Please note: payments must be received and posted on the Student Portal by the fee due date for each term. Consider processing times to ensure the payments are received on or before the due date - allow 24 hours for payments through the Student Portal and 3-5 business days for web banking and international payment methods.
2024-2025 due dates,"Start date All students: deposit Non OSAP: fees OSAP: fees â€‹Fall term â€‹June 11, 2024 â€‹August 2, 2024 September 16, 2024 Winter term October 8, 2024 â€‹November 22, 2024 January 20, 2025 â€‹Spring term â€‹February 11, 2025 April 4, 2025 May 19, 2025"
2025-2026 due dates,"Start date All students: deposit Non OSAP: fees OSAP: fees â€‹Fall term â€‹June 6, 2025 â€‹August 1, 2025 â€‹September 15, 2025 Winter term October 10, 2025 December 12, 2025 â€‹January 23, 2026 â€‹Spring term â€‹â€‹February 13, 2026 April 10, 2026 May 22, 2026 Payment information Deposit A $500 mandatory non-refundable tuition deposit is required for all new and returning students, in order to secure a place in the program. Note: For international students, the mandatory non-refundable tuition deposit is $2,500. The tuition deposit is included in the student's tuition fees and subsequently reduces the tuition owed. Paying fees with OSAP Total OSAP funding Funding information is available on the OSAP website . You may also view the amount of OSAP available to pay your fees on the Student Portal . If OSAP is not enough to cover your fees, you must pay the tuition amount not covered by your OSAP by the fees due date. You will be charged a late fee if you do not pay the difference by the due date. Confirmation of enrolment OSAP will automatically remit fees to the college when we confirm your enrolment. The confirmation of enrolment process takes place about one week before the start of each term."
Payment information,"Deposit A $500 mandatory non-refundable tuition deposit is required for all new and returning students, in order to secure a place in the program. Note: For international students, the mandatory non-refundable tuition deposit is $2,500. The tuition deposit is included in the student's tuition fees and subsequently reduces the tuition owed. Paying fees with OSAP Total OSAP funding Funding information is available on the OSAP website . You may also view the amount of OSAP available to pay your fees on the Student Portal . If OSAP is not enough to cover your fees, you must pay the tuition amount not covered by your OSAP by the fees due date. You will be charged a late fee if you do not pay the difference by the due date. Confirmation of enrolment OSAP will automatically remit fees to the college when we confirm your enrolment. The confirmation of enrolment process takes place about one week before the start of each term. Your enrolment will be confirmed when: You have paid your deposit You have an approved ONE Card photo on file Your OSAP application is complete and you have received an assessment You do not have any outstanding fees on your student account (returning students) Receiving your funds Once your enrolment has been confirmed the amount for your tuition will be sent directly to the college. The funds will take seven to ten (7-10) business days to appear on your student account."
Total OSAP funding,"Funding information is available on the OSAP website . You may also view the amount of OSAP available to pay your fees on the Student Portal . If OSAP is not enough to cover your fees, you must pay the tuition amount not covered by your OSAP by the fees due date. You will be charged a late fee if you do not pay the difference by the due date."
Confirmation of enrolment,OSAP will automatically remit fees to the college when we confirm your enrolment. The confirmation of enrolment process takes place about one week before the start of each term. Your enrolment will be confirmed when: You have an approved ONE Card photo on file Your OSAP application is complete and you have received an assessment
Receiving your funds,"Once your enrolment has been confirmed the amount for your tuition will be sent directly to the college. The funds will take seven to ten (7-10) business days to appear on your student account. If you previously paid your fees to complete your registration and your OSAP funding has been posted to your student account, you can request a refund of the double payment. For further information, please contact us using the Registrar's Office Contact Form . If the student fails to comply with their tuition fee due date, Conestoga has the right to apply late fees, deny release of academic information (transcript), place the student on a financial hold, refuse future and or deny program/course registration, and/or forward the outstanding fee information to a collection agency."
Eligibility criteria,"Eligibility for reduced tuition rates will commence once the student has paid full tuition fees for the entire program. If you are on a reduced course load as an accommodation and have paid the equivalent of full tuition for the program, your course fees will be adjusted to $20 per course (plus college ancillary, course materials, and online learning fees), until you complete your program. Payment of course fees at the regular rate are required at the time of registration. Adjustments and reimbursement (if applicable) are completed within 4-6 weeks after the refund deadline each term. Only the fees paid towards successfully completed courses will be included in this calculation. This policy does not cover courses that you need to take again due to late withdrawal or unsuccessful completion."
Full rules for eligibility,"The total tuition fees to be paid before a student is eligible to pay the reduced fee must equal the tuition fees a student completing the same program in the approved duration would pay if taking the program in the same academic years and terms, as well as delivery format (i.e. compressed). This includes any applicable annual tuition fee increases. A Student is required to pay all applicable ancillary fees for each term in which they are enrolled at the college. A Student is required to pay all applicable ancillary fees for each term in which they are enrolled at the college. Only the fees paid towards successfully completed courses will be included in this calculation. If the student paid the part-time fees for the term in which a failure occurred, the amount of fees paid towards the course is equivalent to what the student paid. This amount should be deducted from the cumulative total of fees paid. If the student paid full-time fees for the term in which a failure occurred, the value of the failed course should be calculated by pro-rating the full-time fees based on student contact hours per course taken in that term. This amount should be deducted from the cumulative total of fees paid. The fees paid towards any courses/terms from which a student withdraws are not included in the cumulative total of fees paid."
Eligibility,All students with a Canadian address on file in the Student Portal are eligible.
Requirements,"To opt in, at least 50% of the term's total invoice must be paid and posted to the Student Portal."
Payment schedule overview,Opens: One month before the scheduled payment due date (as listed on the Conestoga College website). Closes: Four days after the first day of the term. Pay 50% of the total invoice before opting in.
