question,answer,intent
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
eConestoga,"Develop, deliver and manage course materials",general
Employee Portal,Access HR information including attendance and leave details,technical
Contact,"299 Doon Valley DriveKitchener, Ontario N2G 4M4, CanadaPhone: 519-748-5220",contact
Summer hours 2025,"Select a location below to view summer hours. Effective May 4, building access is only available during the times outlined.",general
Returning students,"For more information about timetables, elective selection, course changes and fee payments.",general
Reporting of absences,Instructions for reporting absences,general
Contact,"299 Doon Valley DriveKitchener, Ontario N2G 4M4, CanadaPhone: 519-748-5220",contact
Study in Canada,"Conestoga is a leader in polytechnic education, delivering a full range of career-focused education, training and applied research programs to prepare students for success.",general
Study at Conestoga,"Find application information, admission and document requirements and more",general
Get the support you need,We're here to help you transition to college,general
Permits & visas,Learn about IRCC-related information and updates,general
Contact,"299 Doon Valley DriveKitchener, Ontario N2G 4M4, CanadaPhone: 519-748-5220",contact
Welcome new international students,The following steps are required to register and access your timetable on the Student Portal.,general
Provide proof of approval to study,Note: A valid Study Permit is the only document accepted and is required to start your program. A Study Permit is the document that you receive from the Canadian Border Services Agent after arriving in Canada.,general
Update your address,"Update your â€œLocalâ€� address in the Student Portal with your Canadian address. If you do not have a Social Insurance Number (SIN), please be sure to check the box that says â€œI do not have a SIN"". You won't be able to save your address if you do not check this box.",contact
Ensure your tuition payment has been received by the college,"You will know if it has been received if you can see it in the Student Portal under â€œFinancialâ€�. If required, pay any outstanding fees online.",financial
Student Rights and Responsibilities,Read and understand Conestogaâ€™s Student Rights and Responsibilities Policy (pdf).,general
Get started,Visit the International Getting Started web page for next steps.,general
Contact,"299 Doon Valley DriveKitchener, Ontario N2G 4M4, CanadaPhone: 519-748-5220",contact
Paying for college,Review important dates associated with paying tuition and other college fees as well as refund and withdrawal information.,general
Payment and key dates,Please refer to your Letter of Acceptance for your payment key dates.,financial
Deposit,"A $2,500 mandatory, non-refundable tuition deposit is required in order to secure a place in the program.",general
Key due date for payments â€“ when you should pay,Program of study - Start date â€‹Deposit due date - International students Fall term 30 days from date of acceptance1 Winter term 30 days from date of acceptance1 Spring term 30 days from date of acceptance1,general
International fee exemption,"An international fee exemption permits an international student to pay domestic tuition fees, if eligible. Proof may be required every term to maintain an international fee exemption.",financial
Make an international payment to the college,Conestoga College has partnered with two leading international payment processors: Flywire and Convera. These services allow you to make a payment to Conestoga through a wire transfer or credit card payment directly from your home country. Payments can be made quickly and in your home currency and are typically applied to your student account within five business days of being received by the college.,financial
Withdrawal and refund process,"Students seeking a withdrawal and refund must complete both the Withdrawal Request Form and the Refund Request Form. These forms are found in the Student Portal under Services > My Forms. Log in with your Conestoga email address to complete the Withdrawal Request Form. Once the Withdrawal Request Form is complete, complete the Refund Request Form.",general
Student Visa Refusals,Please note: A valid Student Visa Refusal letter must be provided at the time of the withdrawal and refund requests. Student Visa refusal letters may be verified through IRCC before processing.,general
Contact,"299 Doon Valley DriveKitchener, Ontario N2G 4M4, CanadaPhone: 519-748-5220",contact
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
Procedure Statement,"Students are billed for tuition as well as program specific, compulsory and optional ancillary fees following the Ministry of Colleges and Universities Tuition and Ancillary Fees policy. Students are required to accept and confirm their invoice(s) and adhere to fee due dates. If a student provides evidence satisfactory to Conestoga that they are sponsored by a third party, Conestoga may invoice the third party at its discretion. Proof of sponsorship must be provided to the Office of the Registrar.",general
Definitions,Conestoga College maintains a glossary of terms specific to the institution. The ones in use for this document are defined below.,general
Responsibilities,"AdmissionsAdmits applicants to programs. Contacts confirmed Level 1 applicants who have not paid fees. Academic Records Registration and Enrolment ReportingEnsures processes and procedures for the program fee set up and billing are in place and adhered to. Office of the RegistrarAdministration of MCU policies and College fee policies and procedures ensuring fee schedules are prepared, fee assessments/invoices are prepared, and fees are collected. Client Services and Student FeesEnsures fee payment/collection processes are communicated. Ensures adherence to fee payment/collections procedures and processes. Enters fee and payment information. Processes payment schedules/arrangements for approved sponsor (i.e. Second Career) students. Responds to fee related inquiries. Fees and Statistics OfficerPrimary contact for sponsor agencies to clarify fee invoices/information and processes. StudentsFollows fee payment processes and procedures related to enrolment and registration. Accesses fee invoice(s), reviews and confirms Optional Ancillary Fees. Ensures that they are in good financial standing by adhering to due dates and/or payment agreements.",general
Procedure,"Fee and related fee due dates are established and approved following the Ministry of College and Universities Tuition and Ancillary Fees policy. The Registrar's Office publishes the approved tuition, compulsory and optional ancillary fees on the Conestoga web site and ensures that student fee invoices are posted to student accounts approximately 4-6 weeks prior to the deposit due dateThe student fee invoice includes the tuition deposit, tuition fee amounts, compulsory and optional ancillary fees, program specified fees if applicable and fee due dates by term and academic yearThe tuition deposit is charged only once to students enrolled in consecutive terms of study during the academic year except in the case of:students who take a term off from their studies. students on co-op work terms.students who elect to switch their program of study at Conestoga. The tuition deposit due date(s) for all full-time programs with afall start date or considered to be a fall intake is mid-June.winter start date or considered to be a winter intake is early October.spring start date or considered to be a spring intake is early February. Subsequent tuition fee billing is based on the number of academic terms that the student is scheduled to participate in for the academic year.",general
What does this say?,"If the total length of the study period is less than 21 weeks, there will be one (1) invoice billed for the academic year. If the total length of the study period is between 21 and 40 weeks, there will be two (2) invoices billed for the academic year. If the total length of the study period is more than 40 weeks, there will be three (3) invoices billed for the academic year. Subsequent tuition fee due date(s) for students is one (1) month prior to the start date of the study period start except for the winter term when it is mid-November. Students access Student Fee Invoice(s) through the student portal (invoices are not mailed):If desired, students must opt out of Optional Ancillary Fees via the student portal before the college's refund deadline each term. Once a student has opted out of any Optional Ancillary Fees in the student portal, they will not have an opportunity to re-enrol until the following term. Where a student has not opted out of Optional Ancillary fees by the refund deadline, Optional Ancillary Fees will remain on the student's invoice. Students may go to the Student Portal to view the final billing total for the term.",general
What does this say?,"All payments must be made online through a college approved payment provider and must be received by the due date (not submitted or mailed on the due date). In-person payments are not accepted. Please allow 3-5 days for processing. Year One/First-semester domestic students are expected to pay the tuition deposit and fees by the due date or risk being removed from the program. Students enrolling in semesters beyond semester one who have not paid the Tuition Deposit fee by the Deposit due date may still be eligible to enrol provided the Tuition Deposit fee is paid prior to the subsequent fee payment due date. A student who has not paid their fees by the deadline will be assessed the late fee upon enrolment. Year One/First-semester international students (including second program) are expected to pay the tuition deposit by the deadline provided in the Letter of Acceptance or risk having their offer expire. Upon confirmation of deposit, fee invoice(s) will be generated and posted to the student portal. Late fees may be applied to payments made after the deadline date. Students are not eligible for enrolment/registration in future term(s) until fees have been paid in full by the due date.",general
What does this say?,"Fee Payment DefaultIf a student fails to pay their fees by the specified due date(s), Conestoga has the right to apply late fees, deny release of official documentation including but not limited to a transcript, credential, etc., place the student on a financial hold, refuse future and/or deny program/course registration, and/or forward the outstanding fee information to a collection agency.",general
Related documents,International Student Withdrawal and Refund Procedure Program and Course Withdrawal and Refund Procedure Student Enrolment Procedure Full Time Cohort Programs Student Fees Policy,general
Revision Log,DateDetails2015-05-27Policy and Procedure Committee2015-06-24Academic Coordinating Committee2019-12-11Academic Forum2020-01-13Academic Coordinating Committee2025-04-16Academic Forum2025-04-23Academic Coordinating Committee,general
Helping you pay for college,"College can be expensive, but we're here to help you plan for your future.",general
OSAP & aid,Discover financial aid available including OSAP and out-of-province aid.,financial
"Awards, scholarships & bursaries","Search and apply to over 400 awards, bursaries and scholarships.",general
Work study,The work study program provides on-campus employment to current students.,general
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
Awards directory,The awards directory lists all of the awards available through Student Financial Services.,general
Awards: all programs,"View awards available to all programs #Educatetheworld President's Honour Roll Award This award has been established in honour of 2020 Alumni of Distinction Award recipients Massi Basiri and Meti Basiri. This award is a reflection of their commitment to make education available to all people, their leadership in the local community and around the world and is a testament to their personal journey as international students studying abroad and the many barriers that they have overcome along the way. The recipient of this award is a graduating student who has achieved the distinction of being on the President's Honour List and has shown a positive attitude and perseverance in overcoming hardship and/or adversity in their life. Value $1000 Programs All programs Terms offered Fall School All Schools ApplyBoard International Student Premier's Award Bursary This award has been established in honour of the 2021 Premier's Award - Business category recipients Massi Basiri and Meti Basiri. This award is a reflection of their outstanding contribution to the international student community and post-secondary education and was made possible by the Colleges Ontario Premier's Award Bursary, provided to recipients of the annual Premier's Awards. Meti and Massi have chosen to direct this generous bursary to support International Students at Conestoga. Value $1,000 Programs All Programs Terms offered Fall School All Schools Arnold Rose Academic Grant",general
What does this say?,"The Arnold Rose Academic Grant is awarded to a student who is in their third year of a technology program at Conestoga and demonstrates academic excellence. Value $500 Programs Any technology program Terms offered Fall School All Schools Campus Living Centres Award Campus Living Centres provide residential housing that enriches students' experiences. This award is given to a student who lives in residence, who is active in the college community, and is academically successful. Value $500 Programs All programs Terms offered Winter School All Schools Canadian Federation of University Women (Cambridge) Award The Canadian Federation of University Women (Cambridge) has established this award to recognize mature women who have chosen to attend school in an effort to better themselves. Value $2,000 Programs All programs Terms offered Fall School All Schools Canadian Federation of University Women (Guelph) Bursary The Canadian Federation of University Women (Guelph Chapter) has made this bursary available in an effort to assist women in their educational pursuits. The recipient must demonstrate financial need, and preference will be given to women who reside in Wellington County. Value $500 Programs All programs Terms offered Winter School All Schools Conestoga College Athletic Award This award has been established to support Conestoga's varsity athletes who demonstrate academic success and commitment to their sport. Recipients of the award are selected by coaching staff.",general
What does this say?,"Value Varies Programs All programs Terms offered Winter School All Schools Conestoga College International - Entrance Excellence Scholarship Scholarships are awarded each intake to students at the highest level of academic performance. Applicants will be ranked based on past academic performance (highest academic average) and awards will be distributed across all countries of origin. Value $1,500 Programs All programs Terms offered Fall, Winter, Spring School All Schools Conestoga College International - General Arts and Science: English Language Studies to Post-Secondary Studies Scholarship Eligible applicants will be ranked on highest academic average in Level 4 of Conestoga's General Arts and Science: English Language Studies program. Following completion of the program, students must be entering a degree, diploma or graduate certificate at Conestoga College and must be eligible to proceed. Value $1,500 Programs All programs Terms offered Fall, Winter, Spring School All Schools Conestoga College International - Regional Scholarship This award is awarded to students beginning studies in the fall, winter or spring terms. Applicants will be ranked based on past academic performance (highest academic average) and awards will be distributed across all countries of origin. Value Varies Programs All programs Terms offered Fall, Winter, Spring School All Schools Conestoga College International - Second Program Scholarship",general
What does this say?,"This scholarship is awarded to students who have previously graduated from a Conestoga diploma, degree or graduate certificate program (excludes certificate programs) and who apply to a second program within four months of completion. Students will be ranked on the highest academic average (GPA) from the previous program of study. Value $1,500 Programs All programs Terms offered Fall, Winter, Spring School All Schools Conestoga Co-op Student of the Year Award Each year, the Co-operative Education department recognizes outstanding co-op students at an awards ceremony in March during National Co-op Week. Students are nominated by their co-op employer, and winners are selected by the Co-op Awards Selection Committee. Both the winning students and employers receive recognition. Value $400 Programs Co-op programs Terms offered Winter School All Schools Conestoga Students Inc. (CSI) Academic Excellence Award CSI created this award to recognize the 20 Conestoga students who have achieved the highest average (above 85%) in their area of study at the end of the fall term. Recipients must have completed the winter awards application. In the event of a tie, preference will be given to students with college involvement.",general
What does this say?,"Value $500 Programs All Programs Terms offered Winter School All Schools Conestoga Students Inc. (CSI) Community Achievement Award CSI created this award to recognize students who have demonstrated leadership in one or more of the following areas: community service, international engagement, intercultural understanding and promotion of diversity, intellectual pursuits, and artistic or athletic endeavours. Recipients are selected based on their academic performance, application essay, and reference letters. Value $2500 Programs All programs Terms offered Winter School All Schools Conestoga Students Inc. (CSI) eSports Scholarships CSI established these scholarships to recognize athletes and volunteers within the Conestoga eSports community who demonstrate a commitment to, and excellence in, their academic studies. Recipients are nominated by the coaches. Value $1000 Programs All Programs Terms offered Winter School All Schools Conestoga Students Inc. Athletic Scholarship These awards have been established to recognize varsity athletes, or those that volunteer within the Conestoga varsity athletic community, who demonstrate a commitment to, and excellence in their academic studies. The recipients of these scholarships are nominated by the varsity coaches. Value $1,000 Programs All programs Terms offered Winter School All Schools Conestoga Students Inc. Student Service Award CSI has made this award available to recognize students who are actively involved and volunteer within the college community. Recipients must have a minimum grade average of 75%.",general
What does this say?,"Value $1,000 Programs All programs Terms offered Winter School All Schools Dan and Joe McEdwards Skilled Trades Award Dan and Joe McEdwards were skilled tradesmen who built strong families and comfortable retirements through their long, fulfilling careers in the trades. Born in 1927, Dan worked for the department of highways, based in Puslinch, building many of the roads we travel throughout Waterloo, Wellington, and Guelph. Born in 1934, Dan's brother Joe worked at a hardware store in Guelph, then attended trade school in Toronto to earn his carpentry license. He built houses in the Puslinch, Freelton, Hamilton and Guelph regions. In the 1960s, he took a ""job for life"" at Stelco Steel in Hamilton, working for more than 35 years on site projects in Stelco's carpenter shop. Though times have surely changed, the McEdwards family wishes to support students who also seek a rewarding career in the skilled trades. This award is established in Dan and Joe's honour to assist students who are passionate about the trades and who recognize their fundamental value in today's fast-changing world.",general
What does this say?,"The recipient of this award is a full-time student in their second term of a program in Conestoga's School of Trades who achieved a minimum average of 75% after the end of their first term and who demonstrates a passion and commitment to their field of study with respect to their career goals. Value $500 Programs All Terms offered Winter School Trades & Apprenticeship Dino and Hazel Tonin Memorial Award This award has been established in memory of Dino and Hazel Tonin. Established by Debra Ann Tonin, in memory of her parents who were strong advocates for the value of education and the advantages it can bring. They believed that education frees an individual to change the course of their life and realize their dreams. The recipient of this award is a mature student in their second or third year of study who demonstrates compassion, caring and kindness to others through community involvement/volunteerism above and beyond the 40 hours required to graduate high school. Value $1,000 Programs All programs Terms offered Fall School All Schools Downtown Brantford BIA Academic Grant The Downtown Brantford Business Improvement Area Board of Management (DBBIA) is privileged to host Conestoga College in downtown Brantford, and this award is in recognition of our relationship, and in appreciation for the students who populate, and contribute to, our community.",general
What does this say?,"The recipient of this award is a second-year business student at the Brantford campus who has demonstrated academic success and community involvement. Value $500 Programs All programs Terms offered Fall School Business Equitable Life of Canada Community Venture Awards The Equitable Life Insurance Company of Canada has established this award to recognize entrepreneurs for their passion, perseverance and dedication as they strive to successfully launch businesses that seek to strengthen our community and improve the quality of life for those living in Waterloo Region. Value $1500 Programs All programs Terms offered Fall School All Schools Family & Children's Services of Guelph and Wellington County Bursary This award was created to support students who are, or were, in Extended Society Care with Family and Children's Services of Guelph and Wellington County. The recipient of this award demonstrates academic success and has financial need. Value $600 Programs All programs Terms offered Winter School All Schools First Generation Bursary The First Generation Bursary is awarded to domestic students who demonstrate financial need and whose parents have never attended post-secondary studies, inside or outside of Canada. Value Varies Programs All Terms offered Winter School All Schools Francis Pegahmagabow Memorial Scholarship Pegahmagabow (1891-1952) was a resident of the Wasauksing First Nation Reserve (Parry Island) near Parry Sound, Ontario.",general
What does this say?,"He was the First Nations soldier most highly decorated for bravery in Canadian military history and the most effective sniper of World War I. Three times awarded the Military Medal and seriously wounded, he was an expert marksman and scout, credited with killing 378 Germans and capturing 300 more. Later in life, he served as chief and councillor for the Wasauksing First Nation, and as an activist and leader in several First Nations organizations. This award was created to support a full-time Conestoga student of Indigenous descent who has demonstrated academic success. Value $1,000 Programs All programs Terms offered Fall School All Schools G. Al Logan Memorial Award The Al Logan Memorial Award is given to a student who displays warmth and responsiveness in caring for and enriching the lives of a student or group of students. Al Logan displayed the qualities of warmth and caring both at Conestoga and in the community. It is a real honour to have these qualities recognized by friends and faculty. The recipient of this award is a student who exemplifies Mr. Logan's exceptional qualities and is nominated by a Conestoga community member. Value $250 Programs All programs Terms offered Winter School All Schools Gladys & Norman Raiter Bursary The Estate of Norman Raiter provided this trust to support students with financial need at Conestoga.",general
What does this say?,"Value $100 Programs All programs Terms offered Winter School All Schools Graduating Class Endowed Award This endowed fund has been established in honour of Conestoga's graduating class. We are proud of our graduates and all they have and will continue to accomplish. This fund will allow the college to distribute annual awards to current students on behalf of the graduating class, thereby giving them an opportunity to support the success of the next generation of Conestoga graduates. Value Programs All programs Terms offered Winter School All Schools Indigenous Student Bursary The Indigenous Student Bursary is awarded to domestic students who demonstrate financial need and self-identify as being an Indigenous Person. Recipients must be registered with Indigenous Services. Value Varies Programs All Terms offered Winter School All Schools James W. Church Award This prestigious award was established in 1977 by the Board of Governors in honour of the late James W. Church who was the founding President of Conestoga College. The James W. Church Award recognizes a student who excels in the three areas deemed by Dr. Church to be important for a person to become all that they are capable of being. Value $1,000 Programs All programs Terms offered Winter School All Schools Masonic Foundation of Ontario Endowed",general
What does this say?,"Bursary The Masonic Foundation of Ontario Endowed Bursary was established to provide financial assistance to enable students to complete their post-secondary education when unforeseen financial difficulties might otherwise compel them to give up before graduation. This bursary is available to domestic students who do not qualify for emergency funding provided by Conestoga. In order to receive this bursary all other avenues of available funding must have been explored. A maximum of one award will be distributed to an individual per academic year. Value Varies Programs All Terms offered Fall, Winter, Spring School All Schools Métis Nation of Ontario Student Bursary The Métis Nation of Ontario (MNO) Métis Student Bursary Program provides bursaries to registered students who are verified Métis citizens of the Métis Nation of Ontario. Applicants will be required to consent to a citizenship verification check to confirm eligibility for these awards. Recipients of this bursary must be full-time students who demonstrate financial need. The application is available August 7 - December 31, 2024.If you have any questions, please email PSEsupport@metisnation.org. Value $500 Programs All programs Terms offered Fall School All Schools Narhari Sharma Memorial Award Mr. Narhari Sharma was a symbol of love, wisdom, strength, vision, courage and selflessness. He was gentle soul who lived to help others. Education and equality were two of his key values.",general
What does this say?,"This award was established in his name to support a full-time international student at Conestoga who demonstrates academic success, and the qualities of wisdom, strength, vision, courage and selflessness. The recipient will have demonstrated leadership and have gone out of their way to help others achieve their goals. The recipient of this award is nominated by Conestoga staff and faculty. Value $1,000 Programs All programs Terms offered Winter School All Schools Neil Aitchison Conestoga Students Inc. Scholarship The Neil Aitchison Conestoga Students Inc. Scholarship was created to honour the first president of the Doon Students' Association (1968), later renamed Conestoga Students Incorporated. Neil Aitchison is a strong community partner and has demonstrated exceptional leadership with his continued support of the Conestoga community. The recipients of this scholarship are students who demonstrate academic success, community service, the ability to motivate others and leadership through life's challenges. Value $3,000 Programs All programs Terms offered Winter School All Schools OPSEU SEFPO Solidarity Award This award was created by OPSEU SEFPO Local 237 & 238 to recognize a student who demonstrates a commitment to social activism on and off campus. Value $500 Programs All Programs Terms offered Fall School All Schools Petra Liverpool Memorial Award for Black Students Petra Liverpool, a Trinidadian native, immigrated to the United Kingdom for a better life for herself and her family.",general
What does this say?,"She was not a woman of great means, but a woman of great compassion and empathy. She dedicated her life to the church and serving those in greatest need. She was an asset to her community and her generous and good-natured spirit is missed. In memoriam, this award has been established to respond to the educational needs of the Black community. It recognizes excellence and community commitment, and supports access to post-secondary education for students of Caribbean and African heritage. Value $500 Programs All programs Terms offered Winter School All Schools President's Award of Excellence in Student Leadership The President's Award of Excellence in Student Leadership is presented to a graduate and recognizes the outstanding contributions made by a student who exemplifies excellence in leadership. They will have had a positive impact on their program, the college, and their community. They will have demonstrated support to students and the development of future student leaders. The depth and breadth of their contributions will have increased throughout the course of their studies, and beyond the requirements of a paid or appointed role. The recipient of the President's Award of Excellence in Student Leadership is recognized with a College Coat of Arms at Convocation.",general
What does this say?,"Value $1,000 Programs All Programs Terms offered Fall, Spring School All Schools Rick Casey Courage to Cope Award Throughout his career at Conestoga, Rick was a strong advocate for people with disabilities. Upon his retirement in 2007 friends and colleagues donated funds to establish the annual Rick Casey Courage to Cope Award which is presented in recognition of Rick's dedication and contribution to students with a disability, in particular those with mental health struggles as they continue in their efforts to challenge stigma, to attain personal success and to become full participants in their communities. Value $250 Programs All programs - Registered with Disability Services Terms offered Winter School All Schools Ricoh Canada Inc. Bursary Ricoh's Founder, Kiyoshi Ichimura, built Ricoh on three founding principles – ""The Spirit of Three Loves"" – which includes ""love your neighbour,"" ""love your country"" and ""love your work."" These are foundational drivers of Ricoh's corporate philosophy and the Ricoh Way, which guides the company's decision-making and activities. Ricoh views business, society and the planet as interconnected. Ricoh focuses on the creation of new markets and value propositions by broadly looking at social issues and taking on the challenge to resolve them while simultaneously achieving social development and Ricoh's business goals.",general
What does this say?,"Ricoh is aware of its responsibility as a corporate citizen and demonstrates this through charitable contributions throughout the year, such as the Conestoga College Bursary. The recipient of this bursary is a student who has successfully completed year one or two of their program and shows ambition and leadership skills. Value $5000 Programs All programs Terms offered Fall School All Schools Rohingya Community Leadership Award This award has been established in honour of Saifullah Muhammad, a graduate of Conestoga's Journalism program and recipient of the Alumni of Distinction Award (2020). The recipient of this award is a second-year student who has demonstrated a dedication to their studies and a commitment to leadership and community involvement. This award is to support a student entering their second year of a full-time program at Conestoga. Value $1000 Programs All programs Terms offered Fall School All Schools Ross and Doris Dixon Charitable Foundation Students with Disabilities Award The Ross and Doris Dixon Charitable Foundation Students with Disabilities Award was created to provide students registered with Accessibility Services the funds to purchase specialized equipment to assist with their studies (such as adaptive computer software or tape recorders) or to help pay tuition costs.",general
What does this say?,"Value Varies Programs All programs Terms offered Fall School All Schools Scotiabank Global Citizenship Award Each year, up to three students will be selected to receive Scotiabank Global Citizenship Awards to support international experience activities, including an approved study abroad or work experience. Recipients of this award must have a minimum 3.0 GPA, and have been accepted to a study abroad term or overseas work experience. Value $3,000 Programs All programs Terms offered Fall, Winter, Spring School All Schools The Rebellion 'Carve Your Path' Award It takes tremendous bravery to lift oneself up and create a more inspired future. This award was created to help celebrate the courage it takes to carve your own path. This award is given to a student who is a single mother who has demonstrated academic success, positivity, kindness, and leadership. Value $2800 Programs All Programs Terms offered Winter School All Schools The Rotary Club of Brantford - Sunrise Endowed Bursary This award has been established in order to reduce the financial burden on students and enable them to complete their program so they may find meaningful employment in their field of study. Education is one of the main tenets of Rotary International whose philosophy is that education is a key component in its dedication to improve lives and create a better world to support its peace efforts.",general
What does this say?,"The recipient of this bursary is a mature student in their second or third year of study, who has returned to school to upgrade or change careers. Value $1000 Programs All programs Terms offered Fall School All Schools Work-Integrated Learning Student of the Year Award Each year the Work-Integrated Learning Support Services (WILSS) department recognizes outstanding WIL students at an awards ceremony in March during National Co-op & WIL Week. Students are nominated by their placement supervisor or WILSS staff member and winners are selected by the WIL Awards Selection Committee. The winning students receive financial awards and both students and employers receive recognition. Value $500 Programs All Terms offered Winter School All Schools",general
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
Hours and location,"Student Financial Services is open Monday to Friday, 8:30 a.m. to 4:30 p.m.",contact
Contact us,"To ensure your inquiry is directed to the most appropriate team, please complete the Registrar's Office Contact Form. We aim to respond to all requests within five business days, however, during peak periods this may be longer.",contact
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
About OSAP,"The Ontario Student Assistance Program (OSAP) is a needs-based program designed to help eligible Ontario students cover the cost of post-secondary education. Funded by the federal and provincial governments, OSAP is intended to promote equality of opportunity for post-secondary studies through direct financial assistance (grants and loans) for educational costs and living expenses.",financial
Applying for OSAP,Students can apply for funding directly through the OSAP website. Applications are updated every academic year and made available in the spring for the next September-August study period. OSAP application processing time is six to eight weeks.,financial
Submitting OSAP documents,"Please note:Student Financial Services does not accept documents submitted in person, by mail, or email. Students must upload their documents through the OSAP Portal.",financial
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
Contact,"299 Doon Valley Drive Kitchener, Ontario N2G 4M4, Canada Phone: 519-748-5220 Campus maps",contact
